image,thick_auc,Sensitivity,Specificity,accuracy,Precision,F1,Dice,IoU,GMean,MCC,TP,FP,TN,FN
test_image_1,0.5981308614338031,0.1999999999949367,0.996261722867498,0.9928583795012776,0.18676122931000563,0.19315402923096478,0.19315403422746755,0.10690121786052907,0.44637690864162677,0.18968371828466857,79,344,91677,316
test_image_2,0.7660611348286145,0.5372616984308967,0.9948605712169128,0.9920035491688678,0.39641943733508417,0.4562178023182436,0.45621780720782773,0.29551954241853656,0.7310953974646063,0.45759494222716895,310,472,91367,267
test_image_3,0.5971301421091997,0.19799999999868,0.9962602842182898,0.9833037569251014,0.4662480376692897,0.2779597524810474,0.2779597566669258,0.16141304347738364,0.44413909563773635,0.29669377367405114,297,340,90576,1203
test_image_4,0.7252034556918376,0.45888324872630576,0.9915236626526024,0.9858466066480928,0.3683781581062072,0.4086799227234197,0.4086799276654219,0.2568181818167226,0.6745321337838782,0.40408840438826565,452,775,90656,533
test_image_5,0.6378673718273804,0.2777777777707632,0.9979569658768749,0.9948710180054325,0.36912751676613664,0.3170028769349468,0.3170028818398126,0.18835616438033637,0.5265076146573111,0.31768727363303645,110,188,91832,286
test_image_6,0.6473027982070587,0.29799999999404,0.9966055964140088,0.9928259175899203,0.32321041214049434,0.3100936474471507,0.3100936524421426,0.18349753694355297,0.5449664831211501,0.3067491838602584,149,312,91604,351
test_image_7,0.5844430502115419,0.17178770949600708,0.9970983909257675,0.9843100761771788,0.48235294116701266,0.25334706100598087,0.2533470648802608,0.14504716981046553,0.41387105325124135,0.2815729361556626,246,264,90720,1186
test_image_8,0.741164175144241,0.48991935483377097,0.992408995449664,0.9870152354569569,0.4118644067761707,0.4475138071880353,0.4475138121526358,0.28825622775629745,0.6972807001358421,0.442694996176376,486,694,90730,506
test_image_9,0.7311313012854549,0.4677419354730935,0.9945206670869307,0.9920468317173442,0.2871287128672259,0.3558282161388945,0.3558282208557772,0.21641791044545397,0.6820403372904223,0.3627182130121385,203,504,91478,231
